Barometer,Temp,NO,PM-10,RH,Radiation,WindDir,SO2,NOx,NO2,Compass,PM-2-5,CO,PM-1,O3,Wind Spd,TSP
1007.49,27.50,5.80,12.77,96.59,266.93,140.70,78.53,38.74,17.43,331.69,4.89,425.96,1.95,48.96,1.65,24.48
1006.80,26.60,6.46,14.07,96.90,361.24,143.17,84.34,51.48,17.12,339.34,5.35,355.02,2.16,55.18,1.84,26.42
1006.97,26.74,6.83,12.39,91.87,443.44,128.88,84.45,56.09,17.42,342.15,5.30,308.64,2.22,67.25,1.80,24.12
1005.77,27.31,6.76,10.80,83.87,499.83,150.96,81.05,69.34,24.66,338.27,5.00,311.35,2.21,85.94,1.47,21.38
1007.34,28.88,5.07,9.70,78.68,401.91,140.98,77.47,33.21,19.03,332.15,4.32,229.74,1.89,58.86,1.79,18.42
1007.10,28.14,6.21,12.99,79.79,414.44,135.44,80.10,65.15,19.14,338.10,5.39,303.39,2.41,88.55,1.45,26.81
1010.15,27.42,5.57,11.87,79.53,226.73,159.89,76.68,44.88,15.60,330.88,5.03,246.03,2.19,67.56,1.75,22.93
1007.16,27.73,6.40,12.05,83.38,179.98,141.31,79.25,59.75,18.99,336.11,4.92,248.18,2.21,69.85,1.57,24.24
1007.77,27.46,5.91,13.27,83.78,107.59,139.94,78.79,50.14,18.38,332.94,5.33,304.54,2.49,60.34,1.60,24.94
1007.85,27.13,4.83,14.97,83.40,32.76,143.01,74.61,34.93,17.39,326.00,5.70,336.85,2.51,51.01,1.67,28.76
1006.75,27.91,4.81,15.06,84.53,8.47,145.07,76.07,36.14,18.87,329.90,5.43,388.46,2.34,46.96,1.57,28.35
1007.41,27.91,4.05,20.44,83.91,-15.30,139.85,74.21,14.62,16.16,319.95,6.94,271.83,3.05,34.32,1.59,35.04
1006.22,27.45,4.93,25.71,86.49,11.15,133.79,80.40,44.92,18.31,333.80,8.96,441.84,3.75,47.25,1.50,50.75
1006.71,27.09,3.93,16.23,89.41,-40.22,134.39,78.26,26.70,17.47,331.46,6.10,340.92,2.37,41.51,1.60,31.80
1007.00,26.77,4.40,17.16,94.30,17.91,152.30,78.13,35.16,15.47,331.78,6.74,319.48,2.63,45.07,1.59,30.87
1005.90,27.43,4.80,18.30,92.80,3.61,141.81,79.52,37.56,17.75,331.52,7.65,300.67,3.13,39.96,1.68,32.75
1006.77,26.78,5.18,14.20,100.77,36.68,132.80,78.76,50.93,18.41,333.70,6.32,263.66,2.80,51.57,1.53,29.80
1005.29,27.59,6.22,14.60,98.11,47.15,131.87,77.88,54.61,22.46,332.97,6.60,241.88,2.90,51.24,1.56,32.76
1008.02,27.63,5.98,13.05,100.90,40.22,136.05,79.20,56.54,18.54,335.99,5.82,245.71,2.57,58.02,1.45,27.89
1006.21,27.27,5.49,12.66,100.15,30.91,139.63,80.42,53.95,19.66,333.55,5.69,312.36,2.48,56.63,1.48,25.65
1007.00,27.82,4.13,12.17,99.94,12.98,133.36,79.41,34.68,18.55,328.27,5.67,385.17,2.50,43.86,2.04,23.83
1007.46,27.07,3.74,11.63,99.06,4.83,165.20,80.46,23.87,15.12,325.63,5.23,342.68,2.22,41.38,1.77,21.31
1006.47,27.66,5.14,12.73,98.08,69.75,135.54,82.02,30.58,18.31,328.48,5.69,441.41,2.41,40.45,1.62,23.48
1006.34,26.65,6.63,13.64,100.35,161.63,145.62,79.86,49.01,19.28,331.54,6.19,419.42,2.55,54.35,1.69,26.05
1007.25,26.09,6.01,19.71,90.35,360.03,148.85,82.32,25.06,15.99,324.99,6.85,334.31,2.45,42.93,1.93,36.26
1006.72,27.52,5.59,12.40,84.22,340.92,161.66,82.90,39.59,17.28,334.29,5.24,236.17,2.03,58.63,1.67,23.73
1005.99,27.40,6.40,10.80,85.22,396.15,148.87,82.79,60.34,22.94,341.57,5.06,236.70,2.17,70.18,1.71,21.93
1007.88,27.89,5.68,9.52,82.37,382.44,141.85,82.65,43.06,17.58,339.31,4.23,193.46,1.71,62.75,2.05,18.55
1007.29,27.97,5.56,9.20,84.27,378.92,140.42,82.03,46.07,17.47,339.47,4.06,205.08,1.68,67.35,1.66,17.54
1007.18,27.37,5.83,10.48,85.17,252.28,164.35,80.89,53.40,22.01,338.45,4.49,254.66,1.90,72.23,1.93,19.57
1006.93,28.17,5.49,11.26,83.63,213.29,142.79,81.54,48.83,20.11,338.56,4.90,305.13,2.17,92.43,1.50,22.15
1006.15,27.52,5.22,11.51,80.96,152.79,139.57,79.09,36.57,17.76,330.96,5.01,266.98,2.20,87.41,2.01,22.69
1006.63,26.68,6.09,15.15,88.42,65.32,147.82,77.47,47.11,25.02,330.04,9.54,295.86,4.57,65.22,1.57,37.49
