Barometer,Temp,NO,PM-10,RH,Radiation,WindDir,SO2,NOx,NO2,Compass,PM-2-5,CO,PM-1,O3,Wind Spd,TSP
1005.436933,27.86762433,2.7,35.09,96.95,0,138.7298229,90.56,11.688,14.17,322.19,19.36,587.77,10.65,28.21,1.217646859,51.58
1006.383722,26.46919741,2.93,29.52,96.25,0,126.5454032,92.07,11.508,13.55,322.1,15.22,614.48,7.86,27.72,0.56652692,47.68
1009.26334,28.29911972,3.31,32.34,92.81,8.02,66.39024519,100.47,14.508,17.66,322.27,16.56,656.47,8.51,29.66,2.209821241,53.82
1009.901905,28.94765139,2.9,18.5,83.32,52.17,179.5433387,77.11,6.756,6.14,322.17,7.92,297.7,3.88,45.86,2.373352841,31.58
1002.489465,25.57840439,2.89,17.88,77.36,187.27,71.38247349,68.9,4.02,1.85,322.11,7.75,225.18,3.65,53.3,1.027498208,29.75
1006.813393,30.79205107,2.82,32.15,74.05,233.16,159.3095442,67.91,4.116,2.12,322.13,16.69,213.73,11.49,57.64,1.321130238,46.55
1006.050084,26.20106317,2.57,30.22,70.95,343.23,140.5673224,69.53,3.072,0.88,322.42,14.93,206.1,10.32,63.6,0.690137892,45.26
1004.370753,27.14653939,2.39,18.07,66.55,594.75,138.2864263,68.8,2.232,2.7475,321.98,6.86,194.65,3.29,67.63,1.629964443,34.37
1010.390906,31.56033274,2.52,15.41,64.28,781.54,118.62058,68.25,1.98,1.899375,322.34,6.37,171.75,3.23,72.41,2.401555518,27.27
1006.914399,30.18891192,2.45,13.87,60.21,798.43,89.95977035,67.87,1.332,1.91171875,322.19,5.68,129.77,2.9,72.93,1.519963129,26.06
1005.656911,26.74072457,2.48,18.86,55.85,719.95,186.2928691,68,2.352,1.859648438,322.42,5.76,137.4,2.59,73.34,0.455395948,36.95
1012.190283,23.89924054,2.76,25.18,52.48,577.67,134.2599283,67.01,3.456,1.17,321.84,6.42,118.32,2.49,70.64,1.911047473,51.75
1010.629089,29.58674553,2.66,37.88,52.46,399.4,170.6342986,67.15,3.228,0.99,321.9,8.38,91.6,3.05,73.95,2.821559642,79.71
1008.877981,23.59075286,2.76,31.9,73.78,98.77,108.0195363,68.09,8.76,9.5,322.69,10.61,240.45,4.74,61.1,0.461897805,60.95
1004.683327,26.47875146,2.63,12.44,84.96,11.12,125.2160643,68.44,8.94,9.96,322.6,6.27,328.23,3.06,56.29,1.262596439,23.54
1004.938547,28.3529575,2.48,10.81,79.24,2.56,166.2884825,67.22,5.436,4.68,322.6,5,236.63,2.38,62.63,1.859808142,21.86
1004.460402,31.2219176,10.07,11.37,72.19,0,102.8374113,90.72,10.008,0.25,323,5.27,57.25,2.55,56.37,1.733998074,20.03
1007.64266,26.59534112,2.703076923,14.85,73.79,0,107.3589481,63.3,4.659428571,0.93,322.95,7.63,57.25,3.84,50.31,2.173767159,23.59
1007.884613,23.93085336,1.62,11.09,76.9,0,185.3289747,61.93,2.04,0.73,322.89,6.31,45.8,3.25,45.76,1.994357579,18.13
1006.232748,27.02593118,2.3,10.01,78.62,0,226.752623,63.52,2.568,0.51,322.82,5.62,38.17,2.87,42.86,1.816747829,17
1006.575956,26.2192871,2.26,9.5,85.99,0,149.4215155,64.49,2.52,0.48,322.85,5.86,34.35,2.89,39.48,2.085682636,16.37
1008.266266,26.85023986,2.4,8.58,90.33,0,82.6598141,65.52,3.108,1.18,322.83,5,49.62,2.46,36.12,2.547094524,14.56
1013.381532,26.45298327,2.62,6.61,89.8,0,135.4761925,67.2,3.912,2.12,322.88,3.5,61.07,1.81,34.71,1.282756245,12.4
1008.905691,30.31778171,2.62,6.28,93.18,0,231.6014283,70.01,4.656,3.28,322.8,3.56,95.42,1.92,33.68,1.21532785,10.24
1008.291139,26.30045406,2.4,6.04,89.15,2.9,109.1541882,69.68,4.248,2.98,322.57,3.3,152.67,1.73,33.76,1.067712733,10.65
1008.580044,27.23503964,2.75,8.48,85.02,18.73,177.3047231,70.22,6.6,6.11,322.38,3.74,309.15,1.72,32.57,0.388293226,16.24
1001.939095,26.86330296,5.3,10.23,89.34,129.66,80.89653096,72.29,10.92,8.98,322.27,5.23,465.63,2.49,30.51,1.211147528,19.72
1007.958329,28.31404304,3.64,9.44,84.62,126.54,88.01785633,69.19,6.888,5.22,322.25,4.74,202.28,2.24,33.7,1.463069107,16.16
1004.453706,29.52087999,4.18,10.11,92.02,82.02,114.9001198,66.92,7.86,5.91,322.57,4.92,171.75,2.25,31.28,0.748192524,22.44
1007.009141,24.3928503,4.61,7.47,90.47,388.8,114.4023187,67.86,7.056,3.98,322.93,3.84,187.02,1.9,35.9,1.434244692,14.16
1008.888681,28.07528086,3.26,6.19,85.73,292.29,103.1697787,66.06,2.784,2.93,322.94,3.44,99.23,1.79,43.3,1.51540007,11.39
1011.597428,28.71938659,2.87,4.25,87.99,338.44,106.4341783,65.75,1.716,3.428888889,322.95,2.79,91.6,1.46,45.26,3.016192524,7.86
1004.432681,25.00484967,2.69,3.85,82.04,444.93,136.4449034,65.48,1.752,4.028888889,323,2.42,91.6,1.26,49.31,1.591693338,7.46
1002.992757,25.17716535,2.81,4.38,79.69,274.24,133.4633656,64.96,2.616,4.417777778,322.53,2.41,103.05,1.24,51.09,0.866077493,6.89
1012.163745,30.07931038,2.83,7.17,80.42,176.99,266.4838292,65.29,3.408,1,322.42,3.07,122.13,1.72,49.99,2.35805899,12.96
1008.413045,25.85638079,2.83,10.91,80.91,80.99,156.9629326,65.48,4.752,3.1,322.71,6.04,167.93,3.51,48.15,1.919731938,19.22
1002.146435,26.96952051,3,20.47,81.58,40.81,98.24139793,67.1,7.548,7.22,322.72,8.32,270.98,3.93,44.85,2.014272249,38.32
1012.475941,26.77714083,3.04,19.73,88.77,16.55,130.3714146,69.34,11.34,13.09,322.79,8.26,263.35,3.81,39.74,1.846356091,37.22
1010.883676,33.09540643,2.88,12.16,95.87,0,81.94444238,72,13.704,17.05,322.69,7.32,190.83,3.68,34.05,3.139953951,21.56
1006.98392,30.54295313,2.73,14.58,98.42,0,99.0855083,72.26,13.068,16.3,322.44,8.35,148.85,4.27,31.76,1.997974539,29.83
1002.753654,29.35170587,2.8,11.47,99.88,0,70.01337923,70.59,13.752,17.26,322.84,5.85,95.42,2.97,31.07,2.364060947,31.32
1005.738339,31.20755026,2.79,9.75,99.74,0,163.5843395,70.65,15.156,19.47,322.49,5.45,91.6,2.79,29.49,2.55222938,27.77
1011.391787,24.79834219,2.55,7.27,99.85,0,209.2633389,69.06,11.964,14.85,322.49,3.97,87.78,2.03,32.08,1.157509102,16.32
1002.334633,23.74633304,2.49,5.16,99.45,0,115.833108,65.74,6.168,5.82,322.73,1.91,76.33,0.83,38.87,2.228203786,11.63
1005.483962,22.16645236,2.45,4.63,98.17,0,97.14870614,66.45,7.164,7.46,322.21,1.72,87.78,0.68,36.35,3.137217316,14.13
1010.417334,28.46992632,3,7.09,98.94,0,134.3796017,67.66,11.232,13.01,321.81,2.47,148.85,1.01,29.05,1.983486,17.85
1007.123715,27.84191989,3.56,13.3,99.84,0,102.3905245,72.05,13.14,15.12,322.49,5.46,324.42,2.44,26.14,1.47125368,26.61
1012.750528,29.96873124,3.4,22.56,99.94,0,173.3001478,80.5,13.152,15.39,322.54,9.12,744.25,3.74,24.34,0.344384537,47.11
1000.651103,31.62808553,3.14,19.25,99.95,0.05,167.8000209,76.7,12.852,15.34,322.57,8.34,625.93,3.46,24.24,1.715824317,39.2
1002.759277,29.36278424,2.9,8.58,99.58,8.75,106.3109528,69.93,9.288,10.11,322.28,3.99,312.97,1.85,29.94,1.850245352,16.27
1006.759696,25.28602535,3.3,6.95,98.67,47.42,183.1869774,69.77,9.636,10.06,322.34,3.15,354.95,1.36,31.57,0.869676362,11.65
1004.254999,26.78833762,3.98,9.31,97,104.04,189.263028,69.35,9.624,8.97,322.11,4.03,324.42,1.57,33.97,2.040455377,16.21
1012.649394,28.86002216,4.54,10.19,94.28,186.73,61.61200195,69.25,9.9,8.55,321.84,3.69,324.42,1.38,36.32,2.012531138,19.82
1007.62,24.65,4.52,10.4,91.64,260.88,121.35,74.31,8.4,6.23,322.24,3.66,232.82,1.38,40.12,2.28,18.76
1005.86,29.71,4.48,7.63,87.7,375.93,92.89,72.05,7.08,4.21,322.73,3.07,141.22,1.22,46.24,1.06,13.59
999.82,25.44,3.01,3.39,80.45,427.73,162.75,67.38,2.56,9.42,322.42,1.7,91.6,0.78,49.55,0.66,6.45
1010.52,28.75,2.82,3.2,76.45,443.17,178.95,65.72,1.97,8.45,322.75,1.71,68.7,0.81,50.56,1.84,6.34
1006.71,27.56,2.7,5.57,76.64,362.49,98.19,65.69,2.52,6.99,322.6,2.35,103.05,1.19,50.98,0.79,10.81
1009.78,26.18,2.9,8.08,78.45,210.54,175.67,65.83,3.65,1.27,322.62,3.03,122.13,1.4,47.71,1.69,14.49
1006.06,26.25,3.19,8.98,81.58,148.6,126.47,66.1,5.52,3.75,322.6,2.73,148.85,1.14,44.39,1.44,18.28
1013.32,27.47,3.47,10.39,83.21,65.38,68.57,66.81,7.3,6.13,322.4,3.75,202.28,1.8,41.11,1.73,19.14
1011.36,26.11,2.99,13.77,84.94,9,149.93,68.09,8.81,9.22,322.61,5.05,328.23,2.28,36.81,1.87,26.25
1006.01,28.6,2.63,13.95,87.34,0,157.61,67.27,9.54,10.91,322.68,4.8,354.95,2.07,31.91,1.52,25.28
1009.1,30.25,3.4,20.43,86.71,0,136.33,69.29,10.78,11.67,322.62,7.5,324.42,3.42,30.77,1.77,36.51
1003.39,26.14,2.67,20.93,87.85,0,72.48,69.72,8.41,9.08,322.89,7.32,385.48,2.91,30.51,1.16,41.11
1012.97,23.94,2.59,17.55,90.82,0,205.8,67.68,7.68,8.06,322.82,6.34,370.22,2.28,29.27,2.2,34.83
1005.83,24.85,2.81,16.46,93.12,0,146.31,68.43,7.55,7.52,322.64,6.38,301.52,2.36,27.99,1.53,28.69
1000.14,27.36,2.64,15.82,94.64,0,119.9,70.63,6.32,5.87,322.37,6.4,232.82,2.47,30.56,2.29,27.66
1006.5,24.19,2.95,8.89,99.08,0,129.66,69.1,8.94,9.49,322.26,4.6,129.77,2.07,33.54,1.23,22.66
1001.13,28.71,3.63,8.59,100,0,99.34,66.95,9.56,9.42,322.6,4.47,99.23,1.93,34.77,1.29,23.78
1002.92,28.16,3,5.9,99.84,0,160.39,66.32,5.84,4.56,322.4,2.94,110.68,1.31,38.27,0.74,16.27
1003.08,25.42,2.86,6.72,99.42,0,163.32,70.42,7.54,7.43,322.45,3.13,213.73,1.38,36.45,1.1,12.22
