Barometer,Temp,NO,PM-10,RH,Radiation,WindDir,SO2,NOx,NO2,Compass,PM-2-5,CO,PM-1,O3,Wind Spd,TSP
1010.88,26.98,2.91,19.51,94.25,0.00,100.76,76.08,15.98,20.59,322.94,7.87,492.35,3.30,20.41,2.14,32.45
1000.61,27.12,2.86,21.01,95.56,0.00,178.56,70.34,13.96,17.44,323.00,7.68,496.17,3.01,18.38,0.88,35.81
1003.36,22.57,3.02,19.67,95.52,0.00,189.26,70.13,11.35,13.14,323.00,7.42,332.05,2.58,20.68,1.59,32.95
1007.90,23.59,2.72,17.00,95.74,0.00,140.47,71.22,8.36,8.94,323.00,6.48,202.28,2.14,22.58,1.89,27.94
1005.27,27.61,2.65,15.85,93.26,0.00,119.66,74.66,8.39,9.08,323.00,6.44,179.38,2.04,25.64,1.20,27.71
1006.27,30.70,4.00,24.96,95.59,0.00,62.11,75.72,11.02,11.13,322.73,9.12,278.62,2.72,21.48,1.70,41.34
1010.56,30.56,2.57,20.20,96.83,0.00,114.29,72.53,6.86,6.81,322.76,7.01,213.73,2.13,22.82,1.63,32.57
1004.70,31.24,2.57,21.61,96.15,0.00,123.58,74.09,7.49,7.81,322.75,7.51,251.90,2.29,22.63,1.87,33.02
1010.55,29.26,5.77,24.93,96.19,6.95,153.28,76.51,14.16,13.35,322.94,9.24,492.35,3.00,19.49,0.91,41.23
1006.59,31.48,5.57,22.87,94.12,42.40,159.01,72.45,12.52,11.08,322.94,9.06,538.15,3.27,24.18,2.25,38.96
1004.92,24.69,4.99,27.65,90.11,138.10,191.57,70.24,11.60,10.53,322.95,9.72,618.30,3.49,32.04,3.15,51.33
1008.61,25.43,3.67,20.52,84.33,235.45,142.05,66.91,6.65,4.79,322.95,7.29,324.42,2.76,42.81,1.61,36.89
1004.98,31.09,2.63,17.60,75.95,366.63,87.63,66.08,4.13,2.43,323.00,5.84,114.50,2.31,51.94,0.79,30.91
1003.80,25.94,2.30,20.05,72.01,559.21,149.33,64.30,2.95,1.10,322.95,5.69,74.76,2.21,60.30,2.21,35.44
1003.08,22.20,2.30,20.44,71.51,415.02,200.97,63.89,3.28,1.61,323.00,6.38,34.35,2.52,70.25,1.32,39.61
1006.68,25.08,2.42,16.13,71.57,378.66,66.48,66.42,3.41,1.63,323.00,6.38,68.70,2.56,73.17,1.94,30.06
1005.22,30.57,3.94,17.75,81.55,214.65,120.20,71.24,8.69,7.57,323.00,8.56,179.38,3.74,59.01,2.95,29.13
1006.56,27.98,6.03,27.42,88.79,291.78,60.12,89.80,16.98,17.34,323.00,10.31,625.93,4.19,50.70,2.49,48.06
1004.81,25.15,7.38,35.82,87.56,214.83,71.75,101.83,25.04,27.93,323.00,12.62,786.23,5.08,46.02,1.64,67.40
1006.81,28.42,3.64,13.17,92.32,20.66,163.41,74.78,12.89,14.63,323.00,6.35,240.45,2.62,52.51,1.60,26.85
1009.72,24.44,2.82,11.37,97.38,9.13,170.18,70.07,12.72,15.61,323.00,5.59,320.60,2.37,47.52,0.87,25.40
1006.35,28.67,2.59,11.34,98.41,5.19,63.70,72.36,12.61,15.79,323.00,5.39,496.17,2.70,39.94,0.75,19.50
1008.19,29.99,2.37,10.97,99.11,0.00,155.05,67.07,5.71,5.32,323.00,4.49,354.95,2.12,39.80,1.55,19.28
1000.10,29.03,2.39,13.37,99.59,0.00,164.69,65.14,4.10,2.77,323.00,4.20,267.17,1.73,36.51,0.87,24.90
1003.52,27.12,2.45,13.62,99.79,0.00,134.04,65.81,4.69,3.60,323.00,4.32,259.53,1.68,33.19,0.59,25.25
1007.00,25.14,2.43,15.21,99.93,0.00,191.78,65.11,4.07,2.66,323.00,4.65,213.73,1.75,32.89,0.93,27.20
1001.75,23.82,2.50,17.51,99.96,0.00,127.76,66.71,3.95,2.35,323.00,5.22,198.47,2.12,31.36,1.16,28.20
1008.44,28.61,2.51,17.38,99.99,0.00,120.18,65.88,2.80,0.52,322.95,4.62,141.22,1.47,32.08,1.91,28.18
1007.45,26.94,2.42,17.69,100.00,0.00,119.88,66.08,2.87,0.78,322.95,4.66,141.22,1.41,31.97,1.77,30.23
1008.56,25.95,2.49,19.89,100.00,0.00,154.83,67.00,3.47,1.61,322.95,5.52,190.83,1.90,28.80,1.70,33.04
1009.56,28.63,2.43,19.72,100.00,0.00,125.03,65.32,2.99,0.94,322.96,6.14,202.28,2.02,28.39,2.05,31.54
1006.73,28.24,2.34,19.50,100.00,0.00,211.34,65.90,3.29,1.57,322.97,6.38,217.55,2.36,27.82,1.24,31.70
1006.74,26.56,2.49,23.16,99.92,7.53,163.89,71.78,5.44,4.70,322.95,9.31,343.50,4.97,26.45,1.97,38.93
1008.35,28.97,3.03,22.52,99.83,26.57,150.73,79.74,7.56,7.20,323.00,9.48,484.72,5.31,27.18,0.73,37.45
1002.87,27.56,3.33,17.88,99.48,109.23,164.32,78.51,6.31,4.79,322.78,7.49,377.85,3.63,31.90,2.04,29.34
1011.15,24.09,3.71,17.86,95.06,297.11,114.37,76.10,5.39,2.73,322.89,7.28,293.88,3.57,39.62,1.65,29.86
1004.27,25.36,3.24,16.06,85.73,342.49,204.86,73.90,4.18,1.57,322.49,6.86,251.90,3.35,54.24,1.24,29.17
1013.25,30.34,2.62,15.56,75.60,598.58,187.36,70.07,3.24,1.06,322.49,6.83,225.18,3.31,73.00,1.74,27.09
1012.94,30.76,2.33,14.55,69.46,820.95,128.45,67.54,2.20,5.15,322.49,6.66,202.28,3.23,86.44,2.44,23.58
1008.55,24.60,2.37,17.41,68.51,740.15,160.04,67.95,2.22,4.38,323.00,7.64,213.73,3.69,94.83,0.89,30.45
1009.38,30.41,2.46,23.33,69.49,575.13,103.58,69.25,3.79,2.16,323.00,9.63,248.08,4.40,102.25,1.98,43.14
1006.00,30.06,2.44,28.36,81.69,203.45,125.34,69.18,6.79,6.90,322.95,10.01,259.53,4.52,104.15,1.35,64.65
1006.62,28.45,2.60,15.13,99.86,7.15,155.49,65.98,17.38,23.24,322.62,6.98,370.22,3.40,80.70,0.68,45.80
1011.88,25.83,2.62,11.51,100.00,24.45,165.92,68.19,17.75,23.81,322.40,5.77,526.70,2.73,74.58,2.37,23.12
1003.99,32.50,2.56,12.92,100.00,33.58,126.22,67.80,15.10,19.74,322.34,5.70,606.85,2.55,70.50,1.86,25.99
1009.74,22.16,2.42,15.51,99.60,15.60,163.33,66.69,10.96,13.45,322.32,5.89,522.88,2.56,64.05,1.97,27.32
1007.61,22.72,2.31,13.21,96.57,0.14,195.15,65.06,5.06,4.38,322.32,5.08,385.48,2.29,66.78,1.84,23.44
1008.07,26.94,2.34,19.60,94.20,0.14,139.76,73.21,12.22,15.53,322.22,8.20,606.85,3.64,54.17,0.67,32.03
